instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,tempkelvin,atemp,hum,heatindex,windspeed,casual,registered,cnt,logcnt
1900,2011-03-24,2,0,3,22,0,4,1,1,0.26,283.81,0.2576,0.65,0.416,0.1642,3,59,62,4.143
1901,2011-03-24,2,0,3,23,0,4,1,1,0.24,282.99,0.2273,0.65,0.404,0.194,9,24,33,3.526
1902,2011-03-25,2,0,3,0,0,5,1,1,0.24,282.99,0.2273,0.6,0.384,0.194,1,17,18,2.944
1903,2011-03-25,2,0,3,1,0,5,1,1,0.2,281.35,0.2121,0.69,0.396,0.1642,0,5,5,1.792
1904,2011-03-25,2,0,3,2,0,5,1,1,0.2,281.35,0.197,0.69,0.396,0.2239,0,5,5,1.792
1905,2011-03-25,2,0,3,3,0,5,1,1,0.2,281.35,0.2273,0.69,0.396,0.1045,0,2,2,1.099
1906,2011-03-25,2,0,3,4,0,5,1,1,0.18,280.53,0.2121,0.74,0.404,0.1045,3,2,5,1.792
1907,2011-03-25,2,0,3,5,0,5,1,1,0.18,280.53,0.197,0.74,0.404,0.1642,0,9,9,2.303
1908,2011-03-25,2,0,3,6,0,5,1,1,0.18,280.53,0.1818,0.74,0.404,0.2239,0,32,32,3.497
1909,2011-03-25,2,0,3,7,0,5,1,1,0.2,281.35,0.1818,0.59,0.356,0.3582,4,100,104,4.654
1910,2011-03-25,2,0,3,8,0,5,1,1,0.22,282.17,0.2121,0.51,0.336,0.2836,9,228,237,5.472
1911,2011-03-25,2,0,3,9,0,5,1,1,0.24,282.99,0.2121,0.48,0.336,0.2985,16,150,166,5.118
1912,2011-03-25,2,0,3,10,0,5,1,1,0.26,283.81,0.2576,0.48,0.348,0.0,15,53,68,4.234
1913,2011-03-25,2,0,3,11,0,5,1,1,0.3,285.45,0.2879,0.45,0.36,0.2836,17,58,75,4.331
1914,2011-03-25,2,0,3,12,0,5,1,1,0.32,286.27,0.303,0.42,0.36,0.2537,37,108,145,4.984
1915,2011-03-25,2,0,3,13,0,5,1,1,0.32,286.27,0.3182,0.39,0.348,0.194,34,104,138,4.934
1916,2011-03-25,2,0,3,14,0,5,1,1,0.36,287.91,0.3333,0.32,0.344,0.3284,30,103,133,4.898
1917,2011-03-25,2,0,3,15,0,5,1,2,0.34,287.09,0.3182,0.36,0.348,0.2537,43,79,122,4.812
1918,2011-03-25,2,0,3,16,0,5,1,2,0.34,287.09,0.303,0.34,0.34,0.2985,23,127,150,5.017
1919,2011-03-25,2,0,3,17,0,5,1,2,0.32,286.27,0.2879,0.36,0.336,0.3582,23,202,225,5.421
1920,2011-03-25,2,0,3,18,0,5,1,1,0.3,285.45,0.2879,0.39,0.336,0.2537,8,190,198,5.293
1921,2011-03-25,2,0,3,19,0,5,1,2,0.3,285.45,0.2879,0.36,0.324,0.2836,9,126,135,4.913
1922,2011-03-25,2,0,3,20,0,5,1,2,0.3,285.45,0.303,0.39,0.336,0.1343,6,75,81,4.407
1923,2011-03-25,2,0,3,21,0,5,1,2,0.3,285.45,,0.39,0.336,0.1642,11,64,75,4.331
1924,2011-03-25,2,0,3,22,0,5,1,2,0.28,284.63,0.2576,0.38,0.32,0.3284,3,40,43,3.784
1925,2011-03-25,2,0,3,23,0,5,1,2,0.26,283.81,0.2424,0.38,0.308,0.2836,8,31,39,3.689
1926,2011-03-26,2,0,3,0,0,6,0,2,0.26,283.81,0.2424,0.38,0.308,0.2836,3,25,28,3.367
1927,2011-03-26,2,0,3,1,0,6,0,1,0.26,283.81,0.2273,0.38,0.308,0.2985,3,24,27,3.332
1928,2011-03-26,2,0,3,2,0,6,0,1,0.22,282.17,0.2121,0.44,0.308,0.2239,4,21,25,3.258
1929,2011-03-26,2,0,3,3,0,6,0,1,0.2,281.35,0.197,0.47,0.308,0.194,2,7,9,2.303
1930,2011-03-26,2,0,3,4,0,6,0,1,0.22,282.17,0.2121,0.44,0.308,0.2239,2,4,6,1.946
1931,2011-03-26,2,0,3,5,0,6,0,1,0.2,281.35,0.197,0.51,0.324,0.194,0,8,8,2.197
1932,2011-03-26,2,0,3,6,0,6,0,1,0.18,280.53,0.1818,0.55,0.328,0.194,2,8,10,2.398
1933,2011-03-26,2,0,3,7,0,6,0,1,0.2,281.35,0.197,0.51,0.324,0.194,18,23,41,3.738
1934,2011-03-26,2,0,3,8,0,6,0,1,0.22,282.17,0.2273,0.44,0.308,0.1343,24,42,66,4.205
1935,2011-03-26,2,0,3,9,0,6,0,1,0.24,282.99,0.2424,0.41,0.308,0.1343,32,68,100,4.615
1936,2011-03-26,2,0,3,10,0,6,0,1,0.26,283.81,0.2576,0.41,0.32,0.1642,32,93,125,4.836
1937,2011-03-26,2,0,3,11,0,6,0,1,0.28,284.63,0.2727,0.38,0.32,0.1642,75,93,168,5.13
1938,2011-03-26,2,0,3,12,0,6,0,1,0.3,285.45,0.2879,0.36,0.324,0.194,98,129,227,5.429
1939,2011-03-26,2,0,3,13,0,6,0,1,0.32,286.27,0.303,0.33,0.324,0.2239,94,145,239,5.481
1940,2011-03-26,2,0,3,14,0,6,0,1,0.34,287.09,0.3182,0.29,0.32,0.2239,93,123,216,5.38
1941,2011-03-26,2,0,3,15,0,6,0,1,0.34,287.09,0.3333,0.29,0.32,0.194,110,109,219,5.394
1942,2011-03-26,2,0,3,16,0,6,0,1,0.34,287.09,0.3333,0.23,0.296,0.194,118,130,248,5.517
1943,2011-03-26,2,0,3,17,0,6,0,1,0.32,286.27,0.303,0.24,0.288,0.2239,102,101,203,5.318
1944,2011-03-26,2,0,3,18,0,6,0,2,0.32,286.27,0.3182,0.21,0.276,0.1642,64,89,153,5.037
1945,2011-03-26,2,0,3,19,0,6,0,2,0.28,284.63,0.2727,0.45,0.348,0.2537,45,93,138,4.934
1946,2011-03-26,2,0,3,20,0,6,0,2,0.28,284.63,0.2727,0.45,0.348,0.2537,18,67,85,4.454
1947,2011-03-26,2,0,3,21,0,6,0,2,0.26,283.81,0.2576,0.44,0.332,0.194,15,36,51,3.951
1948,2011-03-26,2,0,3,22,0,6,0,2,0.28,284.63,0.2727,0.41,0.332,0.2239,17,46,63,4.159
1949,2011-03-26,2,0,3,23,0,6,0,2,0.26,283.81,0.2424,0.44,0.332,0.2836,10,31,41,3.738
1950,2011-03-27,2,0,3,0,0,0,0,2,0.26,283.81,0.2576,0.41,0.32,0.1642,5,26,31,3.466
1951,2011-03-27,2,0,3,1,0,0,0,2,0.24,282.99,0.2273,0.52,0.352,0.194,3,17,20,3.045
1952,2011-03-27,2,0,3,2,0,0,0,3,0.22,282.17,0.2273,0.55,0.352,0.194,6,15,21,3.091
1953,2011-03-27,2,0,3,3,0,0,0,3,0.2,281.35,0.197,0.69,0.396,0.2239,0,14,14,2.708
1954,2011-03-27,2,0,3,4,0,0,0,3,0.18,280.53,0.197,0.74,0.404,0.1642,1,5,6,1.946
1955,2011-03-27,2,0,3,6,0,0,0,3,0.16,279.71,0.1818,0.86,0.44,0.1343,0,2,2,1.099
1956,2011-03-27,2,0,3,7,0,0,0,3,0.16,279.71,0.1667,0.86,0.44,0.1642,0,7,7,2.079
1957,2011-03-27,2,0,3,8,0,0,0,1,0.2,281.35,0.197,0.69,0.396,0.2239,6,8,14,2.708
1958,2011-03-27,2,0,3,9,0,0,0,1,0.22,282.17,0.2273,0.55,0.352,0.1343,17,37,54,4.007
1959,2011-03-27,2,0,3,10,0,0,0,2,0.22,282.17,0.2121,0.55,0.352,0.2239,27,59,86,4.466
1960,2011-03-27,2,0,3,11,0,0,0,2,0.24,282.99,0.2424,0.48,0.336,0.1642,23,85,108,4.691
1961,2011-03-27,2,0,3,12,0,0,0,2,0.26,283.81,0.2576,0.44,0.332,0.2239,43,120,163,5.1
1962,2011-03-27,2,0,3,13,0,0,0,1,0.3,285.45,0.2879,0.39,0.336,0.2239,47,100,147,4.997
1963,2011-03-27,2,0,3,14,0,0,0,1,0.32,286.27,0.3182,0.36,0.336,0.1642,61,103,164,5.106
1964,2011-03-27,2,0,3,15,0,0,0,1,0.32,286.27,0.303,0.36,0.336,0.2836,61,111,172,5.153
1965,2011-03-27,2,0,3,16,0,0,0,1,0.34,287.09,0.3333,0.34,0.34,0.0,45,98,143,4.97
1966,2011-03-27,2,0,3,17,0,0,0,1,0.32,286.27,0.303,0.31,0.316,0.2537,50,109,159,5.075
1967,2011-03-27,2,0,3,18,0,0,0,1,0.3,285.45,0.2879,0.33,0.312,0.194,32,105,137,4.927
1968,2011-03-27,2,0,3,19,0,0,0,1,0.3,285.45,0.2879,0.31,0.304,0.2239,23,80,103,4.644
1969,2011-03-27,2,0,3,20,0,0,0,1,0.28,284.63,0.2727,0.36,0.312,0.1642,7,50,57,4.06
1970,2011-03-27,2,0,3,21,0,0,0,1,0.26,283.81,0.2576,0.41,0.32,0.1642,7,29,36,3.611
1971,2011-03-27,2,0,3,22,0,0,0,1,0.26,283.81,0.2576,0.41,0.32,0.1642,5,25,30,3.434
1972,2011-03-27,2,0,3,23,0,0,0,1,0.26,283.81,0.2576,0.44,0.332,0.194,3,16,19,2.996
1973,2011-03-28,2,0,3,0,0,1,1,1,0.22,282.17,0.2273,0.55,0.352,0.194,1,11,12,2.565
1974,2011-03-28,2,0,3,1,0,1,1,1,0.22,282.17,0.2273,0.44,0.308,0.194,2,4,6,1.946
1975,2011-03-28,2,0,3,2,0,1,1,1,0.22,282.17,0.2273,0.44,0.308,0.1642,0,5,5,1.792
1976,2011-03-28,2,0,3,3,0,1,1,1,0.22,282.17,0.2273,0.44,0.308,0.1642,0,2,2,1.099
1977,2011-03-28,2,0,3,5,0,1,1,1,0.18,280.53,0.1818,0.43,0.28,0.194,0,8,8,2.197
1978,2011-03-28,2,0,3,6,0,1,1,1,0.18,280.53,0.1667,0.34,0.244,0.2836,0,40,40,3.714
1979,2011-03-28,2,0,3,7,0,1,1,1,0.2,281.35,0.1818,0.32,0.248,0.3284,6,104,110,4.71
1980,2011-03-28,2,0,3,8,0,1,1,1,0.2,281.35,0.197,0.34,0.256,0.2239,15,239,254,5.541
1981,2011-03-28,2,0,3,9,0,1,1,2,0.22,282.17,0.2121,0.32,0.26,0.2239,12,109,121,4.804
1982,2011-03-28,2,0,3,10,0,1,1,1,0.24,282.99,0.2273,0.3,0.264,0.194,22,47,69,4.248
1983,2011-03-28,2,0,3,11,0,1,1,2,0.26,283.81,0.2424,0.3,0.276,0.2836,18,39,57,4.06
1984,2011-03-28,2,0,3,12,0,1,1,2,0.26,283.81,0.2727,0.25,0.256,0.0,8,71,79,4.382
1985,2011-03-28,2,0,3,13,0,1,1,2,0.3,285.45,0.2879,0.24,0.276,0.2239,14,69,83,4.431
1986,2011-03-28,2,0,3,14,0,1,1,1,0.32,286.27,0.303,0.22,0.28,0.2239,15,65,80,4.394
1987,2011-03-28,2,0,3,15,0,1,1,1,0.32,286.27,0.303,0.24,0.288,0.2836,19,53,72,4.29
1988,2011-03-28,2,0,3,16,0,1,1,1,0.34,287.09,0.3182,0.23,0.296,0.2239,15,117,132,4.89
1989,2011-03-28,2,0,3,17,0,1,1,1,0.34,287.09,0.303,0.23,0.296,0.2985,25,227,252,5.533
1990,2011-03-28,2,0,3,18,0,1,1,1,0.32,286.27,0.303,0.21,0.276,0.2836,21,220,241,5.489
1991,2011-03-28,2,0,3,19,0,1,1,1,0.3,285.45,0.303,0.22,0.268,0.1343,17,156,173,5.159
1992,2011-03-28,2,0,3,20,0,1,1,1,0.32,286.27,0.3333,0.22,0.28,0.1045,5,107,112,4.727
1993,2011-03-28,2,0,3,21,0,1,1,1,0.32,286.27,0.3333,0.21,0.276,0.1343,6,55,61,4.127
1994,2011-03-28,2,0,3,22,0,1,1,1,0.3,285.45,0.2879,0.22,0.268,0.2239,0,40,40,3.714
1995,2011-03-28,2,0,3,23,0,1,1,1,0.28,284.63,0.2576,0.24,0.264,0.2985,1,18,19,2.996
1996,2011-03-29,2,0,3,0,0,2,1,1,0.26,283.81,0.2273,0.28,0.268,0.3284,1,15,16,2.833
1997,2011-03-29,2,0,3,1,0,2,1,1,0.24,282.99,0.2121,0.32,0.272,0.2985,0,4,4,1.609
1998,2011-03-29,2,0,3,2,0,2,1,1,0.24,282.99,0.2121,0.32,0.272,0.2985,0,3,3,1.386
1999,2011-03-29,2,0,3,3,0,2,1,1,0.24,282.99,0.2121,0.32,0.272,0.2985,2,1,3,1.386
2000,2011-03-29,2,0,3,4,0,2,1,1,0.2,281.35,0.2121,0.44,0.296,0.1642,1,1,2,1.099
2001,2011-03-29,2,0,3,5,0,2,1,1,0.22,282.17,0.2121,0.37,0.28,0.2537,0,8,8,2.197
2002,2011-03-29,2,0,3,6,0,2,1,1,0.22,282.17,0.2121,0.41,0.296,0.2985,4,46,50,3.932
2003,2011-03-29,2,0,3,7,0,2,1,1,0.22,282.17,0.197,0.41,0.296,0.3582,5,128,133,4.898
2004,2011-03-29,2,0,3,8,0,2,1,1,0.24,282.99,0.2121,0.35,0.284,0.3582,19,268,287,5.663
2005,2011-03-29,2,0,3,9,0,2,1,1,0.28,284.63,0.2576,0.28,0.28,0.3881,16,156,172,5.153
2006,2011-03-29,2,0,3,10,0,2,1,1,0.3,285.45,0.2727,0.24,0.276,0.2985,13,46,59,4.094
2007,2011-03-29,2,0,3,11,0,2,1,2,0.34,287.09,0.303,0.25,0.304,0.3881,18,63,81,4.407
2008,2011-03-29,2,0,3,12,0,2,1,1,0.34,287.09,0.3333,0.25,0.304,0.1642,29,77,106,4.673
2009,2011-03-29,2,0,3,13,0,2,1,1,0.34,287.09,0.303,0.25,0.304,0.2985,24,80,104,4.654
2010,2011-03-29,2,0,3,14,0,2,1,1,0.36,287.91,0.3333,0.25,0.316,0.2537,20,66,86,4.466
2011,2011-03-29,2,0,3,15,0,2,1,1,0.38,288.73,0.3939,0.25,0.328,0.2239,22,65,87,4.477
2012,2011-03-29,2,0,3,16,0,2,1,1,0.38,288.73,0.3939,0.22,0.316,0.1642,12,124,136,4.92
2013,2011-03-29,2,0,3,17,0,2,1,1,0.4,289.55,0.4091,0.2,0.32,0.1343,34,265,299,5.704
2014,2011-03-29,2,0,3,18,0,2,1,1,0.36,287.91,0.3636,0.21,0.3,0.0896,42,252,294,5.687
2015,2011-03-29,2,0,3,19,0,2,1,1,0.34,287.09,0.3333,0.23,0.296,0.194,20,170,190,5.252
2016,2011-03-29,2,0,3,20,0,2,1,1,0.36,287.91,0.3636,0.21,0.3,0.0896,13,119,132,4.89
2017,2011-03-29,2,0,3,21,0,2,1,1,0.34,287.09,0.3636,0.42,0.372,0.0,8,75,83,4.431
2018,2011-03-29,2,0,3,22,0,2,1,1,0.34,287.09,0.3636,0.49,0.4,0.0,6,49,55,4.025
2019,2011-03-29,2,0,3,23,0,2,1,2,0.32,286.27,0.3333,0.57,0.42,0.1045,8,27,35,3.584
2020,2011-03-30,2,0,3,0,0,3,1,2,0.32,286.27,0.3485,0.57,0.42,0.0,3,8,11,2.485
2021,2011-03-30,2,0,3,1,0,3,1,1,0.32,286.27,0.3485,0.39,0.348,0.0,1,9,10,2.398
2022,2011-03-30,2,0,3,2,0,3,1,2,0.32,286.27,0.3485,0.57,0.42,0.0,0,4,4,1.609
2023,2011-03-30,2,0,3,3,0,3,1,2,0.32,286.27,0.3485,0.49,0.388,0.0,0,4,4,1.609
2024,2011-03-30,2,0,3,4,0,3,1,2,0.32,286.27,0.3485,0.57,0.42,0.0,1,0,1,0.693
2025,2011-03-30,2,0,3,5,0,3,1,2,0.3,285.45,0.2879,0.56,0.404,0.194,0,7,7,2.079
2026,2011-03-30,2,0,3,6,0,3,1,2,0.3,285.45,0.303,0.49,0.376,0.1343,4,44,48,3.892
2027,2011-03-30,2,0,3,7,0,3,1,2,0.32,286.27,0.3333,0.45,0.372,0.1045,8,128,136,4.92
2028,2011-03-30,2,0,3,8,0,3,1,2,0.32,286.27,0.3182,0.49,0.388,0.1642,16,247,263,5.576
2029,2011-03-30,2,0,3,9,0,3,1,2,0.32,286.27,0.303,0.45,0.372,0.2239,7,147,154,5.043
2030,2011-03-30,2,0,3,10,0,3,1,2,0.34,287.09,0.3182,0.46,0.388,0.2239,13,51,64,4.174
2031,2011-03-30,2,0,3,11,0,3,1,2,0.34,287.09,0.3182,0.46,0.388,0.2537,26,64,90,4.511
2032,2011-03-30,2,0,3,12,0,3,1,2,0.34,287.09,0.3333,0.46,0.388,0.1642,15,65,80,4.394
2033,2011-03-30,2,0,3,13,0,3,1,2,0.36,287.91,0.3485,0.46,0.4,0.2239,14,84,98,4.595
2034,2011-03-30,2,0,3,14,0,3,1,2,0.36,287.91,0.3333,0.46,0.4,0.2985,16,64,80,4.394
2035,2011-03-30,2,0,3,15,0,3,1,3,0.28,284.63,0.2576,0.81,0.492,0.2985,14,56,70,4.263
2036,2011-03-30,2,0,3,16,0,3,1,3,0.28,284.63,0.2727,0.87,0.516,0.2537,0,36,36,3.611
2037,2011-03-30,2,0,3,17,0,3,1,3,0.26,283.81,0.2727,0.93,0.528,0.1045,11,105,116,4.762
2038,2011-03-30,2,0,3,18,0,3,1,2,0.26,283.81,0.2576,0.93,0.528,0.2239,6,79,85,4.454
2039,2011-03-30,2,0,3,19,0,3,1,2,0.26,283.81,0.2576,0.93,0.528,0.2239,5,67,72,4.29
2040,2011-03-30,2,0,3,20,0,3,1,3,0.24,282.99,0.2121,0.93,0.516,0.2985,4,40,44,3.807
2041,2011-03-30,2,0,3,21,0,3,1,2,0.24,282.99,0.2273,0.93,0.516,0.2537,0,27,27,3.332
2042,2011-03-30,2,0,3,22,0,3,1,3,0.24,282.99,0.2273,0.93,0.516,0.2239,3,21,24,3.219
2043,2011-03-30,2,0,3,23,0,3,1,3,0.24,282.99,0.2121,0.93,0.516,0.2836,1,11,12,2.565
2044,2011-03-31,2,0,3,0,0,4,1,3,0.24,282.99,0.2273,0.93,0.516,0.2239,0,3,3,1.386
2045,2011-03-31,2,0,3,1,0,4,1,3,0.24,282.99,0.2273,0.93,0.516,0.194,1,4,5,1.792
2046,2011-03-31,2,0,3,2,0,4,1,3,0.24,282.99,0.2273,0.93,0.516,0.194,0,5,5,1.792
2047,2011-03-31,2,0,3,3,0,4,1,3,0.24,282.99,0.2273,0.93,0.516,0.2239,0,1,1,0.693
2048,2011-03-31,2,0,3,4,0,4,1,3,0.24,282.99,0.2273,0.93,0.516,0.2537,0,2,2,1.099
2049,2011-03-31,2,0,3,5,0,4,1,3,0.24,282.99,0.2273,0.93,0.516,0.2239,0,8,8,2.197
2050,2011-03-31,2,0,3,6,0,4,1,3,0.24,282.99,0.2121,0.93,0.516,0.2985,2,34,36,3.611
2051,2011-03-31,2,0,3,7,0,4,1,3,0.24,282.99,0.2273,0.93,0.516,0.2537,5,87,92,4.533
2052,2011-03-31,2,0,3,8,0,4,1,2,0.24,282.99,0.2273,1.0,0.544,0.2537,7,185,192,5.263
2053,2011-03-31,2,0,3,9,0,4,1,3,0.26,283.81,0.2424,0.93,0.528,0.2537,6,126,132,4.89
2054,2011-03-31,2,0,3,10,0,4,1,3,0.26,283.81,0.2424,0.93,0.528,0.2537,15,54,69,4.248
2055,2011-03-31,2,0,3,11,0,4,1,3,0.28,284.63,0.2727,0.93,0.54,0.194,6,52,58,4.078
2056,2011-03-31,2,0,3,12,0,4,1,3,0.28,284.63,0.2727,0.93,0.54,0.194,17,73,90,4.511
2057,2011-03-31,2,0,3,13,0,4,1,3,0.3,285.45,0.303,0.87,0.528,0.1343,13,55,68,4.234
2058,2011-03-31,2,0,3,14,0,4,1,3,0.3,285.45,0.303,0.87,0.528,0.1343,27,49,76,4.344
2059,2011-03-31,2,0,3,15,0,4,1,3,0.3,285.45,0.2727,0.87,0.528,0.2985,4,61,65,4.19
2060,2011-03-31,2,0,3,16,0,4,1,2,0.3,285.45,0.2879,0.87,0.528,0.2537,13,72,85,4.454
2061,2011-03-31,2,0,3,17,0,4,1,2,0.3,285.45,0.2879,0.87,0.528,0.2537,15,153,168,5.13
2062,2011-03-31,2,0,3,18,0,4,1,2,0.3,285.45,0.303,0.87,0.528,0.1343,12,165,177,5.182
2063,2011-03-31,2,0,3,19,0,4,1,2,0.3,285.45,0.303,0.87,0.528,0.1343,12,118,130,4.875
2064,2011-03-31,2,0,3,20,0,4,1,3,0.28,284.63,0.2576,0.93,0.54,0.2836,6,79,85,4.454
2065,2011-03-31,2,0,3,21,0,4,1,2,0.28,284.63,0.2727,0.93,0.54,0.1642,7,53,60,4.111
2066,2011-03-31,2,0,3,22,0,4,1,3,0.28,284.63,0.2727,0.93,0.54,0.2537,7,44,51,3.951
2067,2011-03-31,2,0,3,23,0,4,1,3,0.26,283.81,0.2576,1.0,0.556,0.1642,4,23,27,3.332
2068,2011-04-01,2,0,4,0,0,5,1,3,0.26,283.81,0.2576,1.0,0.556,0.1642,0,6,6,1.946
2069,2011-04-01,2,0,4,1,0,5,1,3,0.26,283.81,0.2576,1.0,0.556,0.1642,0,4,4,1.609
2070,2011-04-01,2,0,4,2,0,5,1,3,0.26,283.81,0.2576,0.93,0.528,0.194,0,7,7,2.079
2071,2011-04-01,2,0,4,3,0,5,1,2,0.24,282.99,0.2273,0.93,0.516,0.2537,0,4,4,1.609
2072,2011-04-01,2,0,4,4,0,5,1,2,0.24,282.99,0.2273,0.93,0.516,0.2537,0,3,3,1.386
2073,2011-04-01,2,0,4,5,0,5,1,3,0.24,282.99,0.2273,0.93,0.516,0.2239,1,11,12,2.565
2074,2011-04-01,2,0,4,6,0,5,1,3,0.24,282.99,0.2273,0.93,0.516,0.2239,2,26,28,3.367
2075,2011-04-01,2,0,4,7,0,5,1,3,0.24,282.99,0.2424,0.93,0.516,0.0,4,91,95,4.564
2076,2011-04-01,2,0,4,8,0,5,1,2,0.26,283.81,0.2424,0.87,0.504,0.2537,8,198,206,5.333
2077,2011-04-01,2,0,4,9,0,5,1,1,0.32,286.27,0.2879,0.7,0.472,0.3582,11,162,173,5.159
2078,2011-04-01,2,0,4,10,0,5,1,1,0.32,286.27,0.303,0.66,0.456,0.2836,12,63,75,4.331
2079,2011-04-01,2,0,4,11,0,5,1,1,0.32,286.27,0.2879,0.61,0.436,0.3582,17,72,89,4.5
2080,2011-04-01,2,0,4,12,0,5,1,1,0.34,287.09,0.303,0.53,0.416,0.3582,15,80,95,4.564
2081,2011-04-01,2,0,4,13,0,5,1,1,0.36,287.91,0.3333,0.5,0.416,0.3582,18,92,110,4.71
2082,2011-04-01,2,0,4,14,0,5,1,2,0.36,287.91,0.3333,0.46,0.4,0.3582,26,61,87,4.477
2083,2011-04-01,2,0,4,15,0,5,1,1,0.34,287.09,0.303,0.46,0.388,0.4179,30,81,111,4.718
2084,2011-04-01,2,0,4,16,0,5,1,1,0.34,287.09,0.303,0.46,0.388,0.4179,42,125,167,5.124
2085,2011-04-01,2,0,4,17,0,5,1,1,0.34,287.09,0.303,0.46,0.388,0.3284,36,245,281,5.642
2086,2011-04-01,2,0,4,18,0,5,1,1,0.34,287.09,0.303,0.46,0.388,0.3284,36,205,241,5.489
2087,2011-04-01,2,0,4,19,0,5,1,1,0.34,287.09,0.303,0.49,0.4,0.3284,16,120,136,4.92
2088,2011-04-01,2,0,4,20,0,5,1,1,0.32,286.27,0.3182,0.53,0.404,0.194,2,75,77,4.357
2089,2011-04-01,2,0,4,21,0,5,1,1,0.32,286.27,0.3333,0.53,0.404,0.1343,9,84,93,4.543
2090,2011-04-01,2,0,4,22,0,5,1,1,0.3,285.45,0.303,0.56,0.404,0.1642,10,64,74,4.317
2091,2011-04-01,2,0,4,23,0,5,1,1,0.3,285.45,0.3182,0.61,0.424,0.0896,12,41,53,3.989
2092,2011-04-02,2,0,4,0,0,6,0,2,0.3,285.45,0.3333,0.61,0.424,0.0,3,29,32,3.497
2093,2011-04-02,2,0,4,1,0,6,0,1,0.26,283.81,0.2727,0.65,0.416,0.1343,4,28,32,3.497
2094,2011-04-02,2,0,4,2,0,6,0,1,0.24,282.99,0.2424,0.75,0.444,0.1343,1,20,21,3.091
2095,2011-04-02,2,0,4,3,0,6,0,1,0.24,282.99,0.2424,0.7,0.424,0.1642,1,8,9,2.303
2096,2011-04-02,2,0,4,4,0,6,0,1,0.24,282.99,0.2424,0.7,0.424,0.1642,0,5,5,1.792
2097,2011-04-02,2,0,4,5,0,6,0,2,0.24,282.99,0.2424,0.75,0.444,0.1642,1,4,5,1.792
2098,2011-04-02,2,0,4,6,0,6,0,1,0.26,283.81,0.2727,0.7,0.436,0.1045,5,7,12,2.565
2099,2011-04-02,2,0,4,7,0,6,0,2,0.26,283.81,0.2727,0.7,0.436,0.1045,2,16,18,2.944
2100,2011-04-02,2,0,4,8,0,6,0,1,0.3,285.45,0.3182,0.7,0.46,0.1045,10,45,55,4.025
2101,2011-04-02,2,0,4,9,0,6,0,2,0.34,287.09,0.3485,0.66,0.468,0.1045,22,65,87,4.477
2102,2011-04-02,2,0,4,10,0,6,0,2,0.36,287.91,0.3485,0.57,0.444,0.1642,41,113,154,5.043
2103,2011-04-02,2,0,4,11,0,6,0,2,0.4,289.55,0.4091,0.47,0.428,0.1642,72,126,198,5.293
2104,2011-04-02,2,0,4,12,0,6,0,3,0.32,286.27,0.3333,0.81,0.516,0.1343,84,100,184,5.22
2105,2011-04-02,2,0,4,13,0,6,0,1,0.34,287.09,0.3333,0.81,0.528,0.1343,56,81,137,4.927
2106,2011-04-02,2,0,4,14,0,6,0,3,0.32,286.27,0.303,0.76,0.496,0.3284,97,93,190,5.252
2107,2011-04-02,2,0,4,15,0,6,0,3,0.34,287.09,0.303,0.76,0.508,0.3881,72,64,136,4.92
2108,2011-04-02,2,0,4,16,0,6,0,1,0.38,288.73,0.3939,0.62,0.476,0.3284,111,85,196,5.283
2109,2011-04-02,2,0,4,17,0,6,0,1,0.38,288.73,0.3939,0.54,0.444,0.3582,89,95,184,5.22
2110,2011-04-02,2,0,4,18,0,6,0,1,0.38,288.73,0.3939,0.54,0.444,0.194,69,110,179,5.193
2111,2011-04-02,2,0,4,19,0,6,0,1,0.36,287.91,0.3333,0.53,0.428,0.3582,71,77,148,5.004
2112,2011-04-02,2,0,4,20,0,6,0,1,0.34,287.09,0.3182,0.53,0.416,0.2836,29,56,85,4.454
2113,2011-04-02,2,0,4,21,0,6,0,1,0.32,286.27,0.303,0.61,0.436,0.2537,24,53,77,4.357
2114,2011-04-02,2,0,4,22,0,6,0,1,0.32,286.27,0.303,0.61,0.436,0.2985,14,41,55,4.025
2115,2011-04-02,2,0,4,23,0,6,0,1,0.32,286.27,0.3182,0.61,0.436,0.1642,20,33,53,3.989
2116,2011-04-03,2,0,4,0,0,0,0,1,0.3,285.45,0.2879,0.65,0.44,0.194,8,31,39,3.689
2117,2011-04-03,2,0,4,1,0,0,0,1,0.3,285.45,0.3182,0.61,0.424,0.1045,8,26,34,3.555
2118,2011-04-03,2,0,4,2,0,0,0,1,0.26,283.81,0.2727,0.7,0.436,0.1343,5,19,24,3.219
2119,2011-04-03,2,0,4,3,0,0,0,1,0.3,285.45,0.3333,0.61,0.424,0.0,3,8,11,2.485
2120,2011-04-03,2,0,4,4,0,0,0,1,0.28,284.63,0.303,0.7,0.448,0.0896,3,0,3,1.386
2121,2011-04-03,2,0,4,5,0,0,0,1,0.28,284.63,0.2727,0.65,0.428,0.2239,1,4,5,1.792
2122,2011-04-03,2,0,4,6,0,0,0,1,0.28,284.63,0.2727,0.65,0.428,0.194,10,23,33,3.526
2123,2011-04-03,2,0,4,7,0,0,0,1,0.32,286.27,0.303,0.57,0.42,0.2239,13,20,33,3.526
2124,2011-04-03,2,0,4,8,0,0,0,1,0.34,287.09,0.3333,0.57,0.432,0.1642,18,44,62,4.143
2125,2011-04-03,2,0,4,9,0,0,0,1,0.36,287.91,0.3182,0.5,0.416,0.4925,68,74,142,4.963
